Timestamp,Trial_ID,Horizontal_Ratio,Vertical_Ratio,EAR,Eye_Direction,Dwell_Confirmed,Blink_Duration_ms,Input_Source,FSM_State,Wheelchair_Command,Left_PWM,Right_PWM,Fail_Safe_Triggered,FPS
1788178024.56309,logic1,0.4802580399717106,0.40854747585948636,0.2850359300092118,CENTER,False,,GAZE,STOPPED,S,113,60,,31.467034780782043
1788178024.5989597,logic1,0.48638693842232117,0.4150434309726009,0.2796258366925991,CENTER,False,,GAZE,STOPPED,S,99,53,,27.878576793464894
1788178024.6307395,logic1,0.49309346871491877,0.4214919756533401,0.274199950433974,CENTER,False,,GAZE,STOPPED,S,87,46,,31.466562635977613
1788178024.6629674,logic1,0.49405454741141264,0.4244669370133748,0.26991300759075076,CENTER,False,,GAZE,STOPPED,S,76,40,,31.02938478383097
1788178024.6991386,logic1,0.48793297346547415,0.42141618131910225,0.26453015572864746,CENTER,False,,GAZE,STOPPED,S,66,35,,27.646305853816088
1788178024.7319567,logic1,0.48581119956442576,0.41877508340877445,0.2613863818662386,CENTER,False,,GAZE,STOPPED,S,58,31,,30.471895092447966
1788178024.7631862,logic1,0.4869046056701623,0.4125350189691427,0.2593143118308501,CENTER,False,,GAZE,STOPPED,S,51,27,,32.0200320635163
1788178024.7990365,logic1,0.489693508913083,0.41271214745386464,0.2604109755335561,CENTER,False,,GAZE,STOPPED,S,44,24,,27.894150899477935
1788178024.8310838,logic1,0.4930212550329764,0.41143263609226804,0.26394437000973,CENTER,False,,GAZE,STOPPED,S,39,21,,31.203207879838416
1788178024.86328,logic1,0.4959712228406049,0.4115870559014113,0.26695253253693313,CENTER,False,,GAZE,STOPPED,S,34,18,,31.059485637695218
1788178024.8987489,logic1,0.4937122341593134,0.41748133832666734,0.2678690387596179,CENTER,False,,GAZE,STOPPED,S,30,16,,28.194158572244817
1788178024.9310675,logic1,0.4911599136577962,0.4164754078151503,0.27046605037846894,CENTER,False,,GAZE,STOPPED,S,26,14,,30.941485437752664
1788178024.9626768,logic1,0.4945921893983631,0.4123306158259674,0.2709179251217778,CENTER,False,,GAZE,STOPPED,S,23,12,,31.636500776901144
1788178024.9991357,logic1,0.4930555024119188,0.4152892803821378,0.26937222384775905,CENTER,False,,GAZE,STOPPED,S,20,11,,27.427913759392105
1788178025.0316436,logic1,0.4960211351102535,0.41134225029547744,0.27001414647157423,CENTER,False,,GAZE,STOPPED,S,17,9,,30.761982295173343
1788178025.0635912,logic1,0.5002279012349558,0.40786194924523744,0.2678347627713362,CENTER,False,,GAZE,STOPPED,S,15,8,,31.30147689873654
